day,avg_temp,min_temp,max_temp,rain
2024-07-01,26.3,22.0,31.3,True
2024-07-02,23.2,21.9,25.2,True
2024-07-03,24.7,23.6,25.9,True
2024-07-04,26.8,23.2,30.6,True
2024-07-05,23.4,21.3,26.1,True
2024-07-06,25.1,22.1,30.0,True
2024-07-07,24.4,21.5,28.2,True
2024-07-08,23.8,23.1,24.5,True
2024-07-09,24.5,22.7,26.7,True
2024-07-10,26.6,22.7,31.1,True
2024-07-11,25.7,23.3,28.9,True
2024-07-12,25.6,21.8,30.2,True
2024-07-13,28.1,23.5,33.3,False
2024-07-14,28.4,24.9,32.1,True
2024-07-15,28.4,24.5,31.3,False
2024-07-16,27.0,24.6,30.7,True
2024-07-17,25.4,24.1,28.1,True
2024-07-18,24.3,23.1,25.6,True
2024-07-19,27.0,24.2,30.8,True
2024-07-20,27.2,25.1,30.6,True
2024-07-21,26.5,22.5,29.8,True
2024-07-22,26.6,24.3,27.9,True
2024-07-23,26.4,25.8,27.3,True
2024-07-24,28.1,26.0,30.9,True
2024-07-25,28.8,25.4,32.2,True
2024-07-26,28.7,25.2,32.7,True
2024-07-27,28.9,27.5,31.7,True
2024-07-28,29.2,27.3,32.2,False
2024-07-29,27.4,26.8,27.8,False
2024-07-30,28.6,26.3,31.9,True
2024-07-31,29.4,27.0,33.3,True
