 format: day,hour,forecast,value  location:60_127 Start : 20240701 
 1,0200,+6,30.000000 
 1,0200,+7,29.000000 
 1,0200,+8,28.000000 
 1,0200,+9,27.000000 
 1,0200,+10,26.000000 
 1,0200,+11,25.000000 
 1,0200,+12,25.000000 
 1,0200,+13,25.000000 
 1,0200,+14,25.000000 
 1,0200,+15,24.000000 
 1,0200,+16,24.000000 
 1,0200,+17,24.000000 
 1,0200,+18,24.000000 
 1,0200,+19,24.000000 
 1,0200,+20,24.000000 
 1,0200,+21,25.000000 
 1,0200,+22,25.000000 
 1,0200,+23,26.000000 
 1,0200,+24,26.000000 
 1,0200,+25,25.000000 
 1,0200,+26,25.000000 
 1,0200,+27,24.000000 
 1,0200,+28,24.000000 
 1,0200,+29,24.000000 
 1,0200,+30,24.000000 
 1,0200,+31,24.000000 
 1,0200,+32,25.000000 
 1,0200,+33,24.000000 
 1,0200,+34,25.000000 
 1,0200,+35,25.000000 
 1,0200,+36,25.000000 
 1,0200,+37,25.000000 
 1,0200,+38,25.000000 
 1,0200,+39,24.000000 
 1,0200,+40,24.000000 
 1,0200,+41,24.000000 
 1,0200,+42,23.000000 
 1,0200,+43,23.000000 
 1,0200,+44,22.000000 
 1,0200,+45,23.000000 
 1,0200,+46,23.000000 
 1,0200,+47,24.000000 
 1,0200,+48,24.000000 
 1,0200,+49,24.000000 
 1,0200,+50,25.000000 
 1,0200,+51,25.000000 
 1,0200,+52,26.000000 
 1,0200,+53,26.000000 
 1,0200,+54,26.000000 
 1,0200,+55,26.000000 
 1,0200,+56,25.000000 
 1,0200,+57,24.000000 
 1,0200,+58,23.000000 
 1,0200,+59,23.000000 
 1,0200,+60,23.000000 
 1,0200,+61,23.000000 
 1,0500,+6,27.000000 
 1,0500,+7,26.000000 
 1,0500,+8,25.000000 
 1,0500,+9,25.000000 
 1,0500,+10,25.000000 
 1,0500,+11,25.000000 
 1,0500,+12,24.000000 
 1,0500,+13,24.000000 
 1,0500,+14,24.000000 
 1,0500,+15,24.000000 
 1,0500,+16,24.000000 
 1,0500,+17,24.000000 
 1,0500,+18,25.000000 
 1,0500,+19,25.000000 
 1,0500,+20,26.000000 
 1,0500,+21,26.000000 
 1,0500,+22,25.000000 
 1,0500,+23,25.000000 
 1,0500,+24,24.000000 
 1,0500,+25,24.000000 
 1,0500,+26,24.000000 
 1,0500,+27,24.000000 
 1,0500,+28,24.000000 
 1,0500,+29,25.000000 
 1,0500,+30,24.000000 
 1,0500,+31,25.000000 
 1,0500,+32,25.000000 
 1,0500,+33,25.000000 
 1,0500,+34,25.000000 
 1,0500,+35,25.000000 
 1,0500,+36,24.000000 
 1,0500,+37,24.000000 
 1,0500,+38,24.000000 
 1,0500,+39,23.000000 
 1,0500,+40,23.000000 
 1,0500,+41,22.000000 
 1,0500,+42,23.000000 
 1,0500,+43,23.000000 
 1,0500,+44,24.000000 
 1,0500,+45,24.000000 
 1,0500,+46,24.000000 
 1,0500,+47,25.000000 
 1,0500,+48,25.000000 
 1,0500,+49,26.000000 
 1,0500,+50,26.000000 
 1,0500,+51,26.000000 
 1,0500,+52,26.000000 
 1,0500,+53,25.000000 
 1,0500,+54,24.000000 
 1,0500,+55,23.000000 
 1,0500,+56,23.000000 
 1,0500,+57,23.000000 
 1,0500,+58,23.000000 
 1,0800,+6,25.000000 
 1,0800,+7,25.000000 
 1,0800,+8,25.000000 
 1,0800,+9,24.000000 
 1,0800,+10,24.000000 
 1,0800,+11,24.000000 
 1,0800,+12,24.000000 
 1,0800,+13,24.000000 
 1,0800,+14,25.000000 
 1,0800,+15,25.000000 
 1,0800,+16,25.000000 
 1,0800,+17,24.000000 
 1,0800,+18,24.000000 
 1,0800,+19,24.000000 
 1,0800,+20,23.000000 
 1,0800,+21,23.000000 
 1,0800,+22,23.000000 
 1,0800,+23,24.000000 
 1,0800,+24,24.000000 
 1,0800,+25,25.000000 
 1,0800,+26,25.000000 
 1,0800,+27,25.000000 
 1,0800,+28,26.000000 
 1,0800,+29,26.000000 
 1,0800,+30,26.000000 
 1,0800,+31,26.000000 
 1,0800,+32,25.000000 
 1,0800,+33,24.000000 
 1,0800,+34,24.000000 
 1,0800,+35,23.000000 
 1,0800,+36,23.000000 
 1,0800,+37,23.000000 
 1,0800,+38,22.000000 
 1,0800,+39,23.000000 
 1,0800,+40,24.000000 
 1,0800,+41,24.000000 
 1,0800,+42,25.000000 
 1,0800,+43,25.000000 
 1,0800,+44,26.000000 
 1,0800,+45,26.000000 
 1,0800,+46,26.000000 
 1,0800,+47,26.000000 
 1,0800,+48,26.000000 
 1,0800,+49,25.000000 
 1,0800,+50,25.000000 
 1,0800,+51,24.000000 
 1,0800,+52,23.000000 
 1,0800,+53,23.000000 
 1,0800,+54,23.000000 
 1,0800,+55,23.000000 
 1,0800,+56,22.000000 
 1,0800,+57,22.000000 
 1,0800,+58,22.000000 
 1,0800,+59,22.000000 
 1,0800,+60,22.000000 
 1,0800,+61,22.000000 
 1,0800,+62,22.000000 
 1,0800,+63,23.000000 
 1,0800,+64,24.000000 
 1,0800,+65,25.000000 
 1,0800,+66,26.000000 
 1,0800,+67,26.000000 
 1,0800,+68,26.000000 
 1,0800,+69,25.000000 
 1,0800,+70,25.000000 
 1,0800,+71,25.000000 
 1,0800,+72,25.000000 
 1,0800,+73,25.000000 
 1,0800,+74,24.000000 
 1,0800,+75,24.000000 
 1,0800,+76,24.000000 
 1,0800,+77,23.000000 
 1,0800,+78,24.000000 
 1,0800,+79,23.000000 
 1,1100,+6,24.000000 
 1,1100,+7,24.000000 
 1,1100,+8,24.000000 
 1,1100,+9,24.000000 
 1,1100,+10,24.000000 
 1,1100,+11,25.000000 
 1,1100,+12,25.000000 
 1,1100,+13,25.000000 
 1,1100,+14,24.000000 
 1,1100,+15,24.000000 
 1,1100,+16,24.000000 
 1,1100,+17,23.000000 
 1,1100,+18,23.000000 
 1,1100,+19,23.000000 
 1,1100,+20,24.000000 
 1,1100,+21,24.000000 
 1,1100,+22,25.000000 
 1,1100,+23,25.000000 
 1,1100,+24,25.000000 
 1,1100,+25,26.000000 
 1,1100,+26,26.000000 
